side,trait,sex,slope,se,r2,pval
lateral,el,fem,1.811,1.176,0.0836,0.496
lateral,el,mle,0.2332,0.7375,0.002694,0.3051557
lateral,ew,fem,1.862,0.988,0.1201,0.3911615
lateral,ew,mle,0.1103,0.788,0.0005295,0.2661299
lateral,eh,fem,0.2757,0.7442,0.00546,0.3397312
lateral,eh,mle,0.3607,0.5426,0.0118,0.241769
dorsal,el,fem,1.71,1.076,0.09179,0.5152693
dorsal,el,mle,0.4462,1.0522,0.004972,0.6019122
dorsal,ew,fem,1.135,0.9308,0.05616,0.8856191
dorsal,ew,mle,-0.1554,1.1426,0.0005137,0.3186727
dorsal,eh,fem,0.3663,0.669,0.01234,0.3529372
dorsal,eh,mle,0.5464,0.7672,0.01389,0.5580468
