id,sex,alt
B001,m,high
B002,f,high
B003,m,high
B006,m,high
B008,m,high
B009,m,high
B010,f,high
B011,f,high
B012,f,high
B013,f,high
B014,m,high
B015,f,high
B016,m,mid
B017,m,mid
B018,m,mid
B019,f,high
B020,m,high
B033,f,mid
B034,m,mid
B035,f,mid
B036,m,mid
B037,f,mid
B039,f,mid
B040,m,mid
B041,f,mid
B042,f,mid
B043,m,mid
B046,m,mid
B047,m,mid
B048,f,mid
B061,m,mid
B062,m,mid
B063,f,mid
B064,f,mid
B065,m,mid
B066,m,mid
B067,m,mid
B069,m,mid
B071,m,mid
B072,f,mid
B073,m,mid
B074,m,mid
B075,m,mid
B076,f,low
B078,f,low
B079,f,low
B080,f,low
B081,f,low
B082,m,low
B083,f,low
B084,f,low
B085,m,low
B086,m,low
B087,f,low
B089,m,low
B090,m,mid
B091,m,mid
B092,f,low
B093,m,low
B094,f,low
B096,m,low
B097,m,low
B098,m,low
B099,m,low
B100,m,low
B101,f,low
B102,m,low
B103,m,low
